anio;pais;pais_iso2;pais_normalizado;pais_dash;pais_es;lat;long;ciudad;Organización;convocatoria;imagen_url;temas_ocr/themes;posible_duplicado_2425
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-34.884047;-56.178568;Zona Aguada ;;https://scontent.fmvd4-1.fna.fbcdn.net/v/t1.0-9/53046765_2254115804846426_4339613996437995520_n.png?_nc_cat=100&_nc_ht=scontent.fmvd4-1.fna&oh=0dac93a50bbcbd45baafe2b82d518278&oe=5D2523C9;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;49.821086;19.042636;Bielsko-Biala;;https://www.facebook.com/events/264779637772695/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;53.12217675;17.998969845338983;Bydgoszcz;;https://www.facebook.com/events/803396470022886/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;54.351887;18.644998;Gdańsk;;https://www.facebook.com/events/2114664011913058/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;54.03338;21.771164;Giżycko;;https://www.facebook.com/events/354473582064275/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;52.7321123;15.239894519317744;Gorzów Wlkp;;https://www.facebook.com/events/2128650820781842/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;53.91464535;15.198659494628751;Gryfice;;https://www.facebook.com/events/801137926921390/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;50.874467;20.62157;Kielce;;https://www.facebook.com/events/340428216565406/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;51.247381;22.565543;Lublin;;https://www.facebook.com/events/2112560102195541/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;52.40452735;16.93042705753461;Poznań;;https://www.facebook.com/events/351050828953557/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;50.05921545;22.49520272476634;Puławy Prezworsk;;https://www.facebook.com/events/615721772184834/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;53.917409;14.250399;Świnoujście;;https://www.facebook.com/events/2228963074010319/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;52.2296143;21.0119832;Warszawa;;https://www.facebook.com/events/381048036044108/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;51.101499;17.029098;Wrocław;;https://www.facebook.com/events/299674227416259/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;51.1512094;15.0152671;Zgorzelec;;https://www.facebook.com/events/538111550347757/;;;FALSE
2019;Polonia;PL;Poland;poland;Polonia;51.9408579;15.5044656549592;Zielona Góra;;https://www.facebook.com/events/301565827228722/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-12.0227721;-76.85066209362094;;;;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-13.637347;-72.87887175531392;Abancay;;https://www.facebook.com/events/1239417522845721/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-16.398869;-71.53135;Arequipa;;https://www.facebook.com/events/399878217428177/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-6.7808555;-79.8410818;Chiclayo;;https://www.facebook.com/events/682783691896263/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-13.52138695;-71.97011030069959;Cusco;;https://www.facebook.com/Ni-una-menos-Cusco-Tocan-a-una-tocan-a-todas-1442464799112460/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-12.07464395;-75.20688005;Huancayo;;https://www.facebook.com/niunamenoshuancayooficial/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-14.06698;-75.726815;Ica;;https://scontent.fmvd4-1.fna.fbcdn.net/v/t1.0-9/46450830_2199419870092816_7968668753749606400_n.jpg?_nc_cat=106&_nc_ht=scontent.fmvd4-1.fna&oh=24897a343aaaa35b728d6c1224b98249&oe=5D158E9C;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-12.0583583;-77.0347564;Lima;;https://www.facebook.com/events/408742493230527/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-12.0519325;-77.0339772;Lima (Las Quispe);;https://www.facebook.com/events/816957178651379/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-12.0794831;-77.0458465;Lima (Marcha);;https://www.facebook.com/events/574856846325514/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-12.0710331;-77.04133652029866;Lima plantón;;https://www.facebook.com/events/2242766955966580/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-13.71052;-76.204187;Pisco (ciudad);;https://www.facebook.com/events/172563823379499/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-12.59388615;-69.18668779813348;Puerto Maldonado;;https://www.facebook.com/events/1033006683472096/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-18.0099911;-70.2459735;Tacna;;https://www.facebook.com/events/257209038548206/;;;FALSE
2019;Perú;PE;Peru;peru;Perú;-8.112024;-79.0279533;Trujillo;;https://www.facebook.com/events/234742813598249/;;;FALSE
2019;Suecia;SE;Sweden;sweden;Suecia;58.4166727;15.6166225;Linköping;;https://www.facebook.com/events/372590860241648/;;;FALSE
2019;Suecia;SE;Sweden;sweden;Suecia;55.7041854;13.19771059343854;Lund;;https://www.facebook.com/events/2131840043568326/;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;37.08753;-8.249447;Albufeira-Praça dos Pescadores;;https://www.facebook.com/events/790010994695948/;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;41.2688261;-8.0790821;Amarante-Praça da República (Largo de São Gonçalo);;;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;40.64162;-8.654115;Aveiro-Praça Dr Joaquim de Melo Freitas;;https://www.facebook.com/events/293166121376353/;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;41.5512708;-8.420115;Braga-Avenida Central;;https://www.facebook.com/events/365930240662017/;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;40.207978;-8.42117;Coimbra-Praça da República;;https://www.facebook.com/events/2127381623982031/;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;38.574205;-7.907979;Évora-local a confirmar;;;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;40.138071;-7.501204;Fundão e Covilha;;https://www.facebook.com/events/589852771490248/;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;38.70752125;-9.136460857083334;Lisboa-Praça do Comércio;;https://www.facebook.com/events/574329639749695/;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;37.73934005;-25.66830183765968;Ponta Delgada;;;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;41.1460257;-8.6041749;Porto-Praça dos Poveiros;;https://www.facebook.com/events/569573366893215/;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;41.2976595;-7.7454406;Vila Real-Praça Luís de Camões  (Tribunal Judicial);;https://www.facebook.com/events/1949529978489459/;;;FALSE
2019;Portugal;PT;Portugal;portugal;Portugal;40.6572827;-7.914318;Viseu-Jardim Tomás Ribeiro (Rossio);;https://www.facebook.com/events/2260026507601814/;;;FALSE
2019;Kenia;KE;Kenya;kenya;Kenia;-4.0460293;39.6612605;Mombasa;;;https://pbs.twimg.com/media/D09roZqWsAADkP3.jpg;;FALSE
2019;Kenia;KE;Kenya;kenya;Kenia;-1.287866;36.816133;Nairobi;;https://www.facebook.com/events/2255141111425686/;;;FALSE
2019;Kenia;KE;Kenya;kenya;Kenia;-1.2913909740111071;36.81932325968176;Nairobi, Uhuru park;;https://twitter.com/OuyaVivianne/status/1100005182103044096;;;FALSE
2019;Italia;IT;Italy;italy;Italia;44.90727;8.6116;Alessandria;;https://www.facebook.com/events/2359181910980631/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;41.1297;14.78263;Benevento;;https://www.facebook.com/events/1002457236619440/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.69827;9.67732;Bergamo;;https://www.facebook.com/events/2319890761613530/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;44.494908;11.342586;Bologna;;https://www.facebook.com/events/343271459730182/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.54164;10.21184;Brescia;;https://www.facebook.com/events/2405880406097955/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;39.22387;9.12176;Cagliari;;https://www.facebook.com/events/1133343803496286/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;37.5080527;15.0831936;Catania;;https://www.facebook.com/events/828445324166762/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;43.83982;13.01944;Fano;;https://www.facebook.com/events/405442643360193/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;43.7696269;11.2557568;Firenze;;https://www.facebook.com/events/319728592225091/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;44.40565;8.94626;Genova;;https://www.facebook.com/events/2290380197648059/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;42.3498185;13.3995427;L'Aquila;;https://www.facebook.com/events/1773140179458369/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;44.10215;9.8238;La Spezia;;https://www.facebook.com/events/391265141607154/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;41.46756;12.90386;Latina;;https://www.facebook.com/events/1008536959342875/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;40.35154;18.17502;Lecce;;https://www.facebook.com/events/2283748701907876/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;43.54841;10.31062;Livorno;;https://www.facebook.com/events/2085280454893025/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;43.84273;10.50266;Lucca;;https://www.facebook.com/events/352291498706376/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;43.298471;13.453423;Macerata;;https://www.facebook.com/events/306372086741460/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.464257;9.1901143;Milano;;https://www.facebook.com/events/2104488189643905/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;44.6471093;10.9250864;Modena;;;;;FALSE
2019;Italia;IT;Italy;italy;Italia;40.85158;14.26802;Napoli;;https://www.facebook.com/events/621951181608672/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.4064;11.87682;Padova;;https://www.facebook.com/events/375874446301461/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;38.11573;13.36155;Palermo;;https://www.facebook.com/events/393361328141709/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.1847528;9.1582221;Pavia;;https://www.facebook.com/events/383206272229592/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;42.46177;14.21612;Pescara;;https://www.facebook.com/events/2123289951098436/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.05266;9.69308;Piacenza;;https://www.facebook.com/events/405335936967251/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;43.72284;10.40165;Pisa;;https://www.facebook.com/events/345409086076764/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;44.41832;12.20354;Ravenna;;https://www.facebook.com/events/630743137353998/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;44.698962;10.62965;Reggio Emilia;;https://www.facebook.com/events/368375537221366/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;44.06797;12.5696;Rimini;;https://www.facebook.com/events/246938292911447/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;41.902775;12.4963544;Roma;;https://www.facebook.com/events/1792244094214319/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;40.68243;14.76809;Salerno;;https://www.facebook.com/events/1109708462524234/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;40.12088;9.01289;Sardegna;;;;;FALSE
2019;Italia;IT;Italy;italy;Italia;40.46433;17.24701;Taranto;;https://www.facebook.com/events/383292492494350/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.07025;7.686791;Torino;;https://www.facebook.com/events/492068231199731/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;46.0748827;11.1218369;Trento;;https://www.facebook.com/events/250013322543254/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.666967;12.242888;Treviso;;https://www.facebook.com/events/413323999432621/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.649692;13.776828;Trieste;;https://www.facebook.com/events/347933522485856/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.441528;12.315565;Venezia;;https://www.facebook.com/events/2295447007445284/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.438465;10.991613;Verona;;https://www.facebook.com/events/587282308405084/;;;FALSE
2019;Italia;IT;Italy;italy;Italia;45.545582;11.53559;Vicenza;;https://www.facebook.com/events/568551733643491/;;;FALSE
2019;España;ES;Spain;spain;España;43.368683;-8.401474;A Coruña;;;https://lh5.googleusercontent.com/3h0XckG_rFKnbY1kAE34hL9-3I4bPB7pIYN9SnWIWCfJblbuJ2N56O4_HC1g2mZuIeCK64glSvvZzZ6XhPuJOUB4A-A22GBAP8LhW1tQg9cWEFSZESTUSNdc4z1hJgg;;FALSE
2019;España;ES;Spain;spain;España;43.3683388;-8.400734331838613;A Coruña;;;https://lh3.googleusercontent.com/3GOSezyClbq5qRUBIxfj_U06nmiabA3X3heJ96XerfCAH9PbhaxA-ylz4NB3ZR83UETwnrLZ8QDkGNwViQapKN_WbKXd5X-IymvddpMc7mKfqqic4HoMSd8PJnK2Cg;;FALSE
2019;España;ES;Spain;spain;España;43.3627107;-8.4064888;A Coruña;;;https://lh4.googleusercontent.com/KXP94p0d9LSbetsIOeWNYGZiOsE4EvQZIjti7H7xX4dQDCYIZanGOkzZRgVeR-lKXtMxzgfNgc4DRNQ3vfP_pjlb_qt1uUsM7l1G2eckwtCvVMAPJDETtHcJh0vPSaQ;;FALSE
2019;España;ES;Spain;spain;España;43.3690241;-8.4012398;A Coruña;;;https://lh5.googleusercontent.com/ep83ZBlbnALjirMBikHefRf97S4Uef5ASrCGVMNdExfx26oTrX4kh5kLNrqhF-CfoeDuzZm5JKWa6904JuSn0Fjo0vaAVjiyPERJ__uQJDhojrcwsYriKfAD3YQ9_V8;;FALSE
2019;España;ES;Spain;spain;España;42.688611;-8.492939;A Estrada;;;https://lh6.googleusercontent.com/_sDxMhz0RulMSx-heV2b4HuOhRZCYq2x7S5EnfD2BM8V7LAF1zn6RtWmt-wCwkVKoQFC1R66Vx1sv_kIaWBy9aAV5bFxUsvYoeKpWWesokTVrAqAvxiFh826zToiNQ;;FALSE
2019;España;ES;Spain;spain;España;41.7854456;1.097749769248609;Agramunt;;;https://lh6.googleusercontent.com/kwKGjhSZ5l6QLq4fnEjvTPsGsqyDlhDpXXP0u1OmhDf72afLAHvueupEsgqWA2aBSMEdaRpto_0_T1QcwmaIlPMhsZvtQU0nSjla1LQ6klsgXTKI9jAgbChcVr5_C70;;FALSE
2019;España;ES;Spain;spain;España;41.785963;1.0979417;Agramunt;;;https://lh4.googleusercontent.com/JsVCM0LPy1V8jq9cfbMxvYzqfVXxixph0lqeRgD-PnKq_bO2upb5vtBZ66QHTr1BdNj7eACCzQqYHYGXcQe-MHM1oAcwb3MZIQ-ypRkJaiMj_7Uz4L_dL87q7NX6kwo;;FALSE
2019;España;ES;Spain;spain;España;41.7855687;1.0975108;Agramunt;;;https://lh5.googleusercontent.com/EASCQ-zSh03eKIBWS2KJ1LlnGG4HOAogi1g07PAU_RSxVDWvFl04xd6Va-Q1vg5nadu46FZNIwwa13jstn1EIJGqqd6d-uahGSpGrRgqTOY6RoSu-HnrqX5nnSCJqKw;;FALSE
2019;España;ES;Spain;spain;España;41.7857168;1.0975348;Agramunt;;;https://lh6.googleusercontent.com/x1HXxyI-9xj2tofsE93edv-DSRpzljyJ7JR5GyhBQ-XNj2RMURRG6O2A04uXgGhBzbnS4BMI0L2S7ecGXkZcyYJnM1IYw4EHdyFWmJ4b-YRqi_9HbgUSC6EUJM6hlgk;;FALSE
2019;España;ES;Spain;spain;España;42.412317;0.140752;Aínsa;;;https://lh3.googleusercontent.com/Iaw6-GHVsqWjdxab8wEI18AoULDqinq6gW-ZX9rCh6D7T74Hcd3h6kElcvndtSp2Ko2zhPwR2PnaAq1le_34cRoF_yY2kMYnTGj41rs_jS2AiwbSos_A2Gg86WI_PA;;FALSE
2019;España;ES;Spain;spain;España;38.34583345;-0.4922815908709137;Alacant - Alicante;;;https://lh3.googleusercontent.com/QvQCUZryyFi7fcTelfMXKAX5K2dSlo8xfBA0L6v2LsqFhBk1ZA6XvIuNHClnEyD5adStkZPOMIr_wX9Um0SiUJ37zsJby9NLBllVr01DH2HCGQKI4tCWuW99DLL0QGo;;FALSE
2019;España;ES;Spain;spain;España;38.345827;-0.490746;Alacant - Alicante;;;https://lh6.googleusercontent.com/nvtF3cymfVRYLrwxJvH-YVPz_n-OMXRJ35U15VKYpUliaFa3nUz-SM4Uv-EC0pfrnJAtaJqzQYhVicTGEKYHK42wUYBFqmBfLMx9VudparXSIolO-2S6ttG3H77VSf0;;FALSE
2019;España;ES;Spain;spain;España;38.344043;-0.487657;Alacant-Alicante;;;https://lh6.googleusercontent.com/DqxKQZTmFu-AtUEfyY2orC5FL5x-yg-nihFPnZy8AgWcM6a7jMosnikm-QfSkR9khGxQZrOAgPkgGgdDVo89gfE9yiy_tPGUgakYmUWPkg4Bx2VTFgw37nMePLMOtQ4;;FALSE
2019;España;ES;Spain;spain;España;38.994684;-1.853602;Albacete;;;https://lh6.googleusercontent.com/SAUvlp4fqDsctxFmZ2t2WlaCBqmCspoNzt47rShh7XHo2913qth1sRAi0cVqoBpnaccn-hEvCAhmY4dPeOE2rrw5X-n2YZ6HohZ9p3w6Yv_oDnGvd6J6hfUuTMHdiHY;;FALSE
2019;España;ES;Spain;spain;España;38.989859;-1.856614;Albacete;;;https://lh4.googleusercontent.com/dIW3PcEBX2rTsuQn_T4dn1GimAFl0RVcFLEu4nXpRlHr0cw20zjec92D0VteO81oac_zwR6LVf6aUEZGaQVyvQ5uNJemhqOysCWgSzFuRG86JWO0j5O3bRc_JNbK5w;;FALSE
2019;España;ES;Spain;spain;España;38.987335;-1.856912;Albacete;;;https://lh6.googleusercontent.com/X8-PgsTgUCrjGSxA2U22QO2mt9y4wd6anJfL0AwjOtNYlwUOL1AOyEuQ92NJKcY9ZooZnTH3WYKBNXAfI4NRIK0qObveI4rRcnABMKcJkmbu0YEvK3gsUchMK4kZic4;;FALSE
2019;España;ES;Spain;spain;España;38.988275;-1.854925;Albacete;;;https://lh5.googleusercontent.com/wZcAd1qRYw7pp8hzL0IEY0Zeo7cU2QLECTJxq_moci2iv7_wnfqFX7-hR3wYCCoIlqhD-N_ycx9VUwLPLH7oZdaI6nCNVzBh8ec0Lozk-b63gu9KAVOVuCONPgiwRw;;FALSE
